jahr,monat,tag,,blau,blau,gelb,gelb,bio,bio,sack,kleider
2016,10,14,Fr,,,16,,4,6,,5
2016,10,17,Mo,1,2,,,,10,6,4
2016,10,18,Di,3,,,,11,12,,10
2016,10,19,Mi,8,9,,,,13,12,11
2016,10,20,Do,5,,,,14,15,,13
2016,10,21,Fr,4,6,,,,16,15,14
2016,10,24,Mo,10,,,,1,2,16,
2016,10,25,Di,11,12,,,,3,2,1
2016,10,26,Mi,13,,,,8,9,3,
2016,10,27,Do,14,15,,,,5,8,9
2016,10,28,Fr,16,,,,4,6,5,
2016,10,31,Mo,,,1,2,,10,4,6
2016,11,2,Mi,,,3,,11,12,10,
2016,11,3,Do,,,8,9,,13,11,12
2016,11,4,Fr,,,5,,14,15,13,
2016,11,5,Sa,,,4,6,,16,14,15
2016,11,7,Mo ,,,10,,1,2,,16
2016,11,8,Di,,,11,12,,3,1,2
2016,11,9,Mi,,,13,,8,9,,3
2016,11,10,Do,,,14,15,,5,9,8
2016,11,11,Fr,,,16,,4,6,,5
2016,11,14,Mo,1,2,,,,10,6,4
2016,11,15,Di,3,,,,11,12,,10
2016,11,16,Mi,8,9,,,,13,12,11
2016,11,17,Do,5,,,,14,15,,13
2016,11,18,Fr,4,6,,,,16,15,14
2016,11,21,Mo,10,,,,1,2,16,
2016,11,22,Di,11,12,,,,3,2,1
2016,11,23,Mi,13,,,,8,9,3,
2016,11,24,Do,14,15,,,,5,8,9
2016,11,25,Fr,16,,,,4,6,5,
2016,11,28,Mo,,,1,2,,10,4,6
2016,11,29,Di,,,3,,11,12,10,
2016,11,30,Mi,,,8,9,,13,11,12
2016,12,1,Do,,,5,,14,15,13,
2016,12,2,Fr,,,4,6,,16,14,15
2016,12,5,Mo,,,10,,1,2,,16
2016,12,6,Di,,,11,12,,3,1,2
2016,12,7,Mi,,,13,,8,9,,3
2016,12,8,Do,,,14,15,,5,9,8
2016,12,9,Fr,,,16,,4,6,,5
2016,12,12,Mo ,1,2,,,,10,6,4
2016,12,13,Di,3,,,,11,12,,10
2016,12,14,Mi,8,9,,,,13,12,11
2016,12,15,Do,5,,,,14,15,,13
2016,12,16,Fr,4,6,,,,16,15,14
2016,12,19,Mo,10,,,,1,2,16,
2016,12,20,Di,11,12,,,,3,2,1
2016,12,21,Mi,13,,,,8,9,3,
2016,12,22,Do,14,15,,,,5,8,9
2016,12,23,Fr,16,,,,4,6,5,
2016,12,27,Di,,,1,2,,10,4,6
2016,12,28,Mi,,,3,,11,12,10,
2016,12,29,Do,,,8,9,,13,11,12
2016,12,30,Fr,,,5,,14,15,13,
2016,12,31,Sa,,,4,6,,16,14,15
2017,1,2,Mo,,,10,,1,2,,16
2017,1,3,Di,,,11,12,,3,1,2
2017,1,4,Mi,,,13,,8,9,,3
2017,1,5,Do,,,14,15,,5,9,8
2017,1,6,Fr,,,16,,4,6,,5
