grbld,9,2016-02-10
bio,13,2016-02-10
gs,12,2016-02-10
ak,11,2016-02-10
grbld,5,2016-02-11
bio,14,2016-02-11
bio,15,2016-02-11
ak,13,2016-02-11
grbld,4,2016-02-12
grbld,6,2016-02-12
bio,16,2016-02-12
gs,15,2016-02-12
ak,14,2016-02-12
grbld,10,2016-02-15
bio,1,2016-02-15
bio,2,2016-02-15
gs,16,2016-02-15
grbld,11,2016-02-16
grbld,12,2016-02-16
bio,3,2016-02-16
gs,2,2016-02-16
ak,1,2016-02-16
grbld,13,2016-02-17
bio,8,2016-02-17
bio,9,2016-02-17
gs,3,2016-02-17
grbld,14,2016-02-18
grbld,15,2016-02-18
bio,5,2016-02-18
gs,8,2016-02-18
ak,9,2016-02-18
grbld,16,2016-02-19
bio,4,2016-02-19
bio,6,2016-02-19
gs,5,2016-02-19
grged,1,2016-02-22
grged,2,2016-02-22
bio,10,2016-02-22
gs,4,2016-02-22
ak,6,2016-02-22
grged,3,2016-02-23
bio,11,2016-02-23
bio,12,2016-02-23
gs,10,2016-02-23
grged,8,2016-02-24
grged,9,2016-02-24
bio,13,2016-02-24
gs,11,2016-02-24
ak,12,2016-02-24
grged,5,2016-02-25
bio,14,2016-02-25
bio,15,2016-02-25
gs,13,2016-02-25
grged,4,2016-02-26
grged,6,2016-02-26
bio,16,2016-02-26
gs,14,2016-02-26
ak,15,2016-02-26
grged,10,2016-02-29
bio,1,2016-02-29
bio,2,2016-02-29
ak,16,2016-02-29
grged,11,2016-03-01
grged,12,2016-03-01
bio,3,2016-03-01
gs,1,2016-03-01
ak,2,2016-03-01
grged,13,2016-03-02
bio,8,2016-03-02
bio,9,2016-03-02
ak,3,2016-03-02
grged,14,2016-03-03
grged,15,2016-03-03
bio,5,2016-03-03
gs,9,2016-03-03
ak,8,2016-03-03
grged,16,2016-03-04
bio,4,2016-03-04
bio,6,2016-03-04
ak,5,2016-03-04
grbld,1,2016-03-07
grbld,2,2016-03-07
bio,10,2016-03-07
gs,6,2016-03-07
ak,4,2016-03-07
grbld,3,2016-03-08
bio,11,2016-03-08
bio,12,2016-03-08
ak,10,2016-03-08
grbld,8,2016-03-09
grbld,9,2016-03-09
bio,13,2016-03-09
gs,12,2016-03-09
ak,11,2016-03-09
grbld,5,2016-03-10
bio,14,2016-03-10
bio,15,2016-03-10
ak,13,2016-03-10
grbld,4,2016-03-11
grbld,6,2016-03-11
bio,16,2016-03-11
gs,15,2016-03-11
ak,14,2016-03-11
grbld,10,2016-03-14
bio,1,2016-03-14
bio,2,2016-03-14
gs,16,2016-03-14
grbld,11,2016-03-15
grbld,12,2016-03-15
bio,3,2016-03-15
gs,2,2016-03-15
ak,1,2016-03-15
grbld,13,2016-03-16
bio,8,2016-03-16
bio,9,2016-03-16
gs,3,2016-03-16
grbld,14,2016-03-17
grbld,15,2016-03-17
bio,5,2016-03-17
gs,8,2016-03-17
ak,9,2016-03-17
grbld,16,2016-03-18
bio,4,2016-03-18
bio,6,2016-03-18
gs,5,2016-03-18
grged,1,2016-03-19
grged,2,2016-03-19
bio,10,2016-03-19
gs,4,2016-03-19
ak,6,2016-03-19
grged,3,2016-03-21
bio,11,2016-03-21
bio,12,2016-03-21
gs,10,2016-03-21
grged,8,2016-03-22
grged,9,2016-03-22
bio,13,2016-03-22
gs,11,2016-03-22
ak,12,2016-03-22
grged,5,2016-03-23
bio,14,2016-03-23
bio,15,2016-03-23
gs,13,2016-03-23
grged,4,2016-03-24
grged,6,2016-03-24
bio,16,2016-03-24
gs,14,2016-03-24
ak,15,2016-03-24
grged,10,2016-03-29
bio,1,2016-03-29
bio,2,2016-03-29
ak,16,2016-03-29
grged,11,2016-03-30
grged,12,2016-03-30
bio,3,2016-03-30
gs,1,2016-03-30
ak,2,2016-03-30
grged,13,2016-03-31
bio,8,2016-03-31
bio,9,2016-03-31
ak,3,2016-03-31
grged,14,2016-04-01
grged,15,2016-04-01
bio,5,2016-04-01
gs,9,2016-04-01
ak,8,2016-04-01
grged,16,2016-04-02
bio,4,2016-04-02
bio,6,2016-04-02
ak,5,2016-04-02
grbld,1,2016-04-04
grbld,2,2016-04-04
bio,10,2016-04-04
gs,6,2016-04-04
ak,4,2016-04-04
grbld,3,2016-04-05
bio,11,2016-04-05
bio,12,2016-04-05
ak,10,2016-04-05
grbld,8,2016-04-06
grbld,9,2016-04-06
bio,13,2016-04-06
gs,12,2016-04-06
ak,11,2016-04-06
grbld,5,2016-04-07
bio,14,2016-04-07
bio,15,2016-04-07
ak,13,2016-04-07
grbld,4,2016-04-08
grbld,6,2016-04-08
bio,16,2016-04-08
gs,15,2016-04-08
ak,14,2016-04-08
grbld,10,2016-04-11
bio,1,2016-04-11
bio,2,2016-04-11
gs,16,2016-04-11
grbld,11,2016-04-12
grbld,12,2016-04-12
bio,3,2016-04-12
gs,2,2016-04-12
ak,1,2016-04-12
grbld,13,2016-04-13
bio,8,2016-04-13
bio,9,2016-04-13
gs,3,2016-04-13
grbld,14,2016-04-14
grbld,15,2016-04-14
bio,5,2016-04-14
gs,8,2016-04-14
ak,9,2016-04-14
grbld,16,2016-04-15
bio,4,2016-04-15
bio,6,2016-04-15
gs,5,2016-04-15
grged,1,2016-04-18
grged,2,2016-04-18
bio,10,2016-04-18
gs,4,2016-04-18
ak,6,2016-04-18
grged,3,2016-04-19
bio,11,2016-04-19
bio,12,2016-04-19
gs,10,2016-04-19
grged,8,2016-04-20
grged,9,2016-04-20
bio,13,2016-04-20
gs,11,2016-04-20
ak,12,2016-04-20
grged,5,2016-04-21
bio,14,2016-04-21
bio,15,2016-04-21
gs,13,2016-04-21
grged,4,2016-04-22
grged,6,2016-04-22
bio,16,2016-04-22
gs,14,2016-04-22
ak,15,2016-04-22
grged,10,2016-04-25
bio,1,2016-04-25
bio,2,2016-04-25
ak,16,2016-04-25
grged,11,2016-04-26
grged,12,2016-04-26
bio,3,2016-04-26
gs,1,2016-04-26
ak,2,2016-04-26
grged,13,2016-04-27
bio,8,2016-04-27
bio,9,2016-04-27
ak,3,2016-04-27
grged,14,2016-04-28
grged,15,2016-04-28
bio,5,2016-04-28
gs,9,2016-04-28
ak,8,2016-04-28
grged,16,2016-04-29
bio,4,2016-04-29
bio,6,2016-04-29
ak,5,2016-04-29
grbld,1,2016-05-02
grbld,2,2016-05-02
bio,10,2016-05-02
gs,6,2016-05-02
ak,4,2016-05-02
grbld,3,2016-05-03
bio,11,2016-05-03
bio,12,2016-05-03
ak,10,2016-05-03
grbld,8,2016-05-04
grbld,9,2016-05-04
bio,13,2016-05-04
gs,12,2016-05-04
ak,11,2016-05-04
grbld,5,2016-05-06
bio,14,2016-05-06
bio,15,2016-05-06
ak,13,2016-05-06
grbld,4,2016-05-07
grbld,6,2016-05-07
bio,16,2016-05-07
gs,15,2016-05-07
ak,14,2016-05-07
grbld,10,2016-05-09
bio,1,2016-05-09
bio,2,2016-05-09
gs,16,2016-05-09
grbld,11,2016-05-10
grbld,12,2016-05-10
bio,3,2016-05-10
gs,2,2016-05-10
ak,1,2016-05-10
grbld,13,2016-05-11
bio,8,2016-05-11
bio,9,2016-05-11
gs,3,2016-05-11
grbld,14,2016-05-12
grbld,15,2016-05-12
bio,5,2016-05-12
gs,8,2016-05-12
ak,9,2016-05-12
grbld,16,2016-05-13
bio,4,2016-05-13
bio,6,2016-05-13
gs,5,2016-05-13
grged,1,2016-05-17
grged,2,2016-05-17
bio,10,2016-05-17
gs,4,2016-05-17
ak,6,2016-05-17
grged,3,2016-05-18
bio,11,2016-05-18
bio,12,2016-05-18
gs,10,2016-05-18
grged,8,2016-05-19
grged,9,2016-05-19
bio,13,2016-05-19
gs,11,2016-05-19
ak,12,2016-05-19
grged,5,2016-05-20
bio,14,2016-05-20
bio,15,2016-05-20
gs,13,2016-05-20
grged,4,2016-05-21
grged,6,2016-05-21
bio,16,2016-05-21
gs,14,2016-05-21
ak,15,2016-05-21
